위도,경도
35.03054955,128.8176767
35.03054955,128.8176767
35.03056766,128.8163289
35.03056766,128.8163289
35.03066672,128.8150038
35.03066672,128.8150038
35.0307113876,128.825985
35.0307113876,128.825985
35.0308008,128.8137810268
35.0308008,128.8137810268
35.0308027989,128.8246318485
35.0308027989,128.8246318485
35.0308027989,128.8246318485
35.0308027989,128.8246318485
35.03080355,128.8147641
35.03080355,128.8147641
35.03118576,128.8168352017
35.03118576,128.8168352017
35.03118868,128.8138981604
35.03118868,128.8138981604
35.03122978,128.8143847
35.03122978,128.8143847
35.03125205,128.8427582
35.03125205,128.8427582
35.03128396,128.8253497116
35.03128396,128.8253497116
35.03141277,128.8246443
35.03141277,128.8246443
35.03141277,128.8246443
35.03141277,128.8246443
35.03141775,128.8140852801
35.03141775,128.8140852801
35.03141775,128.8140852801
35.03141775,128.8140852801
35.03141775,128.8140852801
35.03141775,128.8140852801
35.0315326,128.8135877
35.0315326,128.8135877
35.03153388,128.8218460597
35.03153388,128.8218460597
35.0316152322,128.8211212769
35.0316152322,128.8211212769
35.0316445305,128.825994
35.0316445305,128.825994
35.03165218,128.8212494
35.03165218,128.8212494
35.03169172,128.8127126
35.03169172,128.8127126
35.03184319,128.8249774
35.03184319,128.8249774
35.03193966,128.8174272611
35.03193966,128.8174272611
35.03195478,128.8245631284
35.03195478,128.8245631284
35.03195478,128.8245631284
35.03195478,128.8245631284
35.03202272,128.8223022133
35.03202272,128.8223022133
35.03207066,128.8166836
35.03207066,128.8166836
35.03210503,128.8126728808
35.03210503,128.8126728808
35.03215413,128.822997
35.03215413,128.822997
35.03220389,128.822307
35.03220389,128.822307
35.03242282,128.8245778
35.03242282,128.8245778
35.03282165,128.8218786163
35.03282165,128.8218786163
35.0328741767,128.8242418411
35.0328741767,128.8242418411
35.0328741767,128.8242418411
35.0328741767,128.8242418411
35.03305111,128.8236526
35.03305111,128.8236526
35.03324233,128.8095469691
35.03324233,128.8095469691
35.03371083,128.8100366
35.03371083,128.8100366
35.03371083,128.8100366
35.03371083,128.8100366
35.03380074,128.8114184
35.03380074,128.8114184
35.03380074,128.8114184
35.03380074,128.8114184
35.03386128,128.8212541232
35.03386128,128.8212541232
35.0339909222,128.8216088378
35.0339909222,128.8216088378
35.03408815,128.8115746
35.03408815,128.8115746
35.0342206873,128.8221359043
35.0342206873,128.8221359043
35.034416595,128.8121576
35.034416595,128.8121576
35.03456389,128.8118753
35.03456389,128.8118753
35.0346168,128.8120511
35.0346168,128.8120511
35.03476058,128.8228039
35.03476058,128.8228039
35.03476798,128.8123595
35.03476798,128.8123595
35.03490546,128.8120211
35.03490546,128.8120211
35.03528286,128.8121943229
35.03528286,128.8121943229
35.03528286,128.8121943229
35.03528286,128.8121943229
35.03575077,128.8123254
35.03575077,128.8123254
35.03641705,128.8124416
35.03641705,128.8124416
35.0364217029,128.8134044886
35.0364217029,128.8134044886
35.03647963,128.8125189
35.03647963,128.8125189
35.03651796,128.8148647
35.03651796,128.8148647
35.03655659,128.8144815
35.03655659,128.8144815
35.03661723,128.8134902771
35.03661723,128.8134902771
35.03678407,128.8141659
35.03678407,128.8141659
35.0368114245,128.8126017016
35.0368114245,128.8126017016
35.03682594,128.8132947687
35.03682594,128.8132947687
35.03692811,128.8128522
35.03692811,128.8128522
35.03708259,128.8126674
35.03708259,128.8126674
35.03723509,128.8127785
35.03723509,128.8127785
35.03724337,128.8128882
35.03724337,128.8128882
35.03728329,128.8136558
35.03728329,128.8136558
35.03732983,128.8134371
35.03732983,128.8134371
35.037686,128.8127501
35.037686,128.8127501
35.03792907,128.8127964
35.03792907,128.8127964
35.03816994,128.8131714
35.03816994,128.8131714
35.03826265,128.8128006429
35.03826265,128.8128006429
35.03835548,128.813695992
35.03835548,128.813695992
35.0385774,128.8129014
35.0385774,128.8129014
35.03912738,128.812885
35.03912738,128.812885
35.03912738,128.812885
35.03912738,128.812885
35.03950274,128.8213829
35.03950274,128.8213829
35.03953447,128.8126698
35.03953447,128.8126698
35.03976033,128.8126017218
35.03976033,128.8126017218
35.04011304,128.8124235
35.04011304,128.8124235
35.0403865239,128.8122729
35.0403865239,128.8122729
35.0408916,128.811927
35.0408916,128.811927
35.0408916,128.811927
35.0408916,128.811927
35.0434929866,128.8299349235
35.0434929866,128.8299349235
35.04487543,128.8306111
35.04487543,128.8306111
35.04517246,128.9692129
35.04517246,128.9692129
35.04561132,128.8311016167
35.04561132,128.8311016167
35.04608534,128.9688882
35.04608534,128.9688882
35.04621373,128.8313152
35.04621373,128.8313152
35.04626465,128.9689548
35.04626465,128.9689548
35.04652707,128.9689627
35.04652707,128.9689627
35.04661229,128.8298602278
35.04661229,128.8298602278
35.04666585,128.9690072
35.04666585,128.9690072
35.04669952,128.9690072
35.04669952,128.9690072
35.04695892,128.9691038
35.04695892,128.9691038
35.0471611,128.9688894
35.0471611,128.9688894
35.04718399,128.9691292
35.04718399,128.9691292
35.047600939,128.8307702
35.047600939,128.8307702
35.04774464,128.8302236
35.04774464,128.8302236
35.04794228,128.9699685
35.04794228,128.9699685
35.04803718,128.9701139
35.04803718,128.9701139
35.04804539,128.8320581809
35.04804539,128.8320581809
35.04830625,128.9702081
35.04830625,128.9702081
35.04836898,128.8311946
35.04836898,128.8311946
35.04862181,128.8311314
35.04862181,128.8311314
35.04867377,128.9706676
35.04867377,128.9706676
35.04869843,128.9712499
35.04869843,128.9712499
35.04881668,128.9717865
35.04881668,128.9717865
35.04882155,128.9717829
35.04882155,128.9717829
35.04882155,128.9717829
35.04882155,128.9717829
35.04923775,128.8306992
35.04923775,128.8306992
35.04930558,128.9650574
35.04930558,128.9650319
35.04930558,128.9650574
35.04930558,128.9650319
35.0493577,128.8297510257
35.0493577,128.8297510257
35.04975088,128.9651248
35.04975088,128.9651248
35.04977307,128.8406468
35.04977307,128.8406468
35.04985494,128.9696541
35.04985494,128.9696541
35.04987051,128.8304425
35.04987051,128.8304425
35.04993355,128.9694584
35.04993355,128.9694214
35.04993355,128.9694584
35.04993355,128.9694214
35.04994659,128.8318066612
35.04994659,128.8318066612
35.05002389,128.8343574
35.05002389,128.8343574
35.05072554,128.8412409144
35.05072554,128.8412409144
35.05072554,128.8412409144
35.05072554,128.8412409144
35.05075609,128.831438
35.05075609,128.831438
35.05100022,128.997467
35.05100022,128.9974753
35.05100022,128.997467
35.05100022,128.9974753
35.05100581,128.8331396
